MPN,Manufacturer,Description,Subcategory,Stock,Unit Price,Package,Mounting Type,Status,Datasheet URL,Product URL,Current - Supply,Data Rate,DigiKey Programmable,Function,Grade,Input Type,Interface,Number of Inputs,Number of Outputs,Operating Temperature,Output Type,Protocol,Qualification,Series,Standards,Voltage - Supply
DS2465P+,Analog Devices Inc./Maxim Integrated,IC I2C TO 1WIRE BRIDGE 6TSOC,pmic-supervisors,0,0.0,"6-SMD, J-Lead",,Discontinued at DigiKey,https://www.analog.com/media/en/technical-documentation/data-sheets/ds2465.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc-maxim-integrated/DS2465P/4935115,750µA,,Not Verified,Controller,,,I2C,,,-40°C ~ 85°C,,1-Wire®,,,,2.97V ~ 3.63V
DS2482S-100+,Analog Devices Inc./Maxim Integrated,IC BRIDGE I2C TO 1-WIRE 8-SOIC,pmic-supervisors,5183,3.57,"8-SOIC (0.154"", 3.90mm Width)",,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/ds2482-100.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc-maxim-integrated/DS2482S-100/1197435,750µA,,Not Verified,"Bridge, 1-Wire® to I2C",,,I2C,,,-40°C ~ 85°C,,1-Wire®,,,,"3.3V, 5V"
DS2482S-100+T&R,Analog Devices Inc./Maxim Integrated,IC I2C TO 1WIRE BRIDGE 8SOIC,pmic-supervisors,1787,3.26,"8-SOIC (0.154"", 3.90mm Width)",,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/ds2482-100.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc-maxim-integrated/DS2482S-100-T-R/1197436,750µA,,Not Verified,"Bridge, 1-Wire® to I2C",,,I2C,,,-40°C ~ 85°C,,1-Wire®,,,,"3.3V, 5V"
DS2482S-800+,Analog Devices Inc./Maxim Integrated,IC I2C TO 1WIRE BRIDGE 16SOIC,pmic-supervisors,2850,15.14,"16-SOIC (0.154"", 3.90mm Width)",,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/ds2482-800.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc-maxim-integrated/DS2482S-800/1197437,750µA,,Not Verified,"Bridge, 1-Wire® to I2C",,,I2C,,,-40°C ~ 85°C,,1-Wire®,,,,"3.3V, 5V"
DS2482S-800+T&R,Analog Devices Inc./Maxim Integrated,IC MASTER I2C-1WIRE 8CH 16-SOIC,pmic-supervisors,1544,15.35,"16-SOIC (0.154"", 3.90mm Width)",,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/ds2482-800.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc-maxim-integrated/DS2482S-800-T-R/2045541,750µA,,Not Verified,"Bridge, 1-Wire® to I2C",,,I2C,,,-40°C ~ 85°C,,1-Wire®,,,,"3.3V, 5V"
DS2482X-100+T,Analog Devices Inc./Maxim Integrated,IC MASTER I2C-1WIRE 1CH 9-WLP,pmic-supervisors,0,3.61,"9-WFBGA, WLBGA",,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/ds2482-100.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc-maxim-integrated/DS2482X-100-T/2045548,750µA,,Not Verified,"Bridge, 1-Wire® to I2C",,,I2C,,,-40°C ~ 85°C,,1-Wire®,,,,2.9V ~ 5.5V
DS2482X-101+T,Analog Devices Inc./Maxim Integrated,IC MASTER I2C-1WIRE 1CH 9-WLP,pmic-supervisors,6118,2.95,"9-WFBGA, WLBGA",,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/ds2482-101.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc-maxim-integrated/DS2482X-101-T/2045547,750µA,,Not Verified,"Bridge, 1-Wire® to I2C",,,I2C,,,-40°C ~ 85°C,,1-Wire®,,,,2.9V ~ 5.5V
DS2483Q+T,Analog Devices Inc./Maxim Integrated,IC I2C TO 1WIRE BRIDGE 8TDFN,pmic-supervisors,0,1.4014,8-WFDFN Exposed Pad,,Not For New Designs,https://www.analog.com/media/en/technical-documentation/data-sheets/ds2483.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc-maxim-integrated/DS2483Q-T/3045789,300µA,,Not Verified,Controller,,,I2C,,,-40°C ~ 85°C,,1-Wire®,,,,1.71V ~ 5.25V
DS2483R+T,Analog Devices Inc./Maxim Integrated,IC I2C TO 1WIRE BRIDGE SOT23-6,pmic-supervisors,0,2.54,SOT-23-6,,Not For New Designs,https://www.analog.com/media/en/technical-documentation/data-sheets/ds2483.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc-maxim-integrated/DS2483R-T/3045790,300µA,,Not Verified,Controller,,,I2C,,,-40°C ~ 85°C,,1-Wire®,,,,1.71V ~ 5.25V
DS2484Q+T,Analog Devices Inc./Maxim Integrated,IC MASTER I2C-1WIRE 1CH 8DFN,pmic-supervisors,3783,2.76,8-WFDFN Exposed Pad,,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/ds2484.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc-maxim-integrated/DS2484Q-T/5020822,300µA,,Not Verified,Controller,,,I2C,,,-40°C ~ 85°C,,1-Wire®,,,,1.71V ~ 5.25V
DS2484Q+U,Analog Devices Inc./Maxim Integrated,IC MASTER I2C-1WIRE 1CH 8DFN,pmic-supervisors,0,0.0,8-WFDFN Exposed Pad,,Discontinued at DigiKey,https://www.analog.com/media/en/technical-documentation/data-sheets/ds2484.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc-maxim-integrated/DS2484Q-U/4755516,300µA,,Not Verified,Controller,,,I2C,,,-40°C ~ 85°C,,1-Wire®,,,,1.71V ~ 5.25V
DS2484R+T,Analog Devices Inc./Maxim Integrated,IC MASTER I2C-1WIRE 1CH SOT-6,pmic-supervisors,27099,2.69,SOT-23-6,,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/ds2484.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc-maxim-integrated/DS2484R-T/5020823,300µA,,Not Verified,Controller,,,I2C,,,-40°C ~ 85°C,,1-Wire®,,,,1.71V ~ 5.25V
DS2484R+U,Analog Devices Inc./Maxim Integrated,IC MASTER I2C-1WIRE 1CH SOT-6,pmic-supervisors,0,0.0,SOT-23-6,,Discontinued at DigiKey,https://www.analog.com/media/en/technical-documentation/data-sheets/ds2484.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc-maxim-integrated/DS2484R-U/4755517,300µA,,Not Verified,Controller,,,I2C,,,-40°C ~ 85°C,,1-Wire®,,,,1.71V ~ 5.25V
DS2485Q+T,Analog Devices Inc./Maxim Integrated,ADVANCED 1-WIRE MASTER WITH MEMO,pmic-supervisors,0,3.57,6-WDFN Exposed Pad,,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/DS2485.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc-maxim-integrated/DS2485Q-T/17885461,10mA,,,Controller,,,I2C,,,-40°C ~ 85°C (TA),,1-Wire®,,,,2.97V ~ 3.63V
DS2485Q+U,Analog Devices Inc./Maxim Integrated,ADVANCED 1-WIRE MASTER WITH MEMO,pmic-supervisors,0,0.0,6-WDFN Exposed Pad,,Discontinued at DigiKey,https://www.analog.com/media/en/technical-documentation/data-sheets/ds2485.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc-maxim-integrated/DS2485Q-U/14317232,10mA,,Not Verified,Controller,,,I2C,,,-40°C ~ 85°C (TA),,1-Wire®,,,,2.97V ~ 3.63V
DS2488X+T,Analog Devices Inc./Maxim Integrated,1-WIRE DUAL-PORT LINK,pmic-supervisors,2268,1.77,"8-XFBGA, WLBGA",,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/DS2488.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc-maxim-integrated/DS2488X-T/17878668,60µA,,,Controller,,,UART,,,-40°C ~ 85°C,,1-Wire®,,,,1.71V ~ 3.63V
DS28E17Q+,Analog Devices Inc./Maxim Integrated,IC BRIDGE 1-WIRE TO I2C 16TQFN,pmic-supervisors,1581,5.87,16-WQFN Exposed Pad,,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/ds28e17.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc-maxim-integrated/DS28E17Q/5361762,2.6mA,,Not Verified,"Bridge, 1-Wire® to I2C",,,I2C,,,-40°C ~ 85°C,,1-Wire®,,,,2.45V ~ 3.6V
DS28E17Q+T,Analog Devices Inc./Maxim Integrated,IC BRIDGE 1-WIRE TO I2C 16TQFN,pmic-supervisors,572,7.08,16-WQFN Exposed Pad,,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/ds28e17.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc-maxim-integrated/DS28E17Q-T/5396369,2.6mA,,Not Verified,"Bridge, 1-Wire® to I2C",,,I2C,,,-40°C ~ 85°C,,1-Wire®,,,,2.45V ~ 3.6V
DS28E18Q+U,Analog Devices Inc./Maxim Integrated,1-WIRE TO I2C/SPI BRIDGE,pmic-supervisors,0,0.0,8-WFDFN Exposed Pad,,Discontinued at DigiKey,https://www.analog.com/media/en/technical-documentation/data-sheets/ds28e18.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc-maxim-integrated/DS28E18Q-U/12703546,,,Not Verified,"Bridge, 1-Wire® to I2C",,,I2C,,,-40°C ~ 85°C,,1-Wire®,,,,2.97V ~ 3.63V
DS32EL0124SQ/NOPB,Texas Instruments,IC DESERIAL W/DDR LVDS 48WQFN,pmic-power-management-specialized,0,9.40478,48-WFQFN Exposed Pad,Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/DS32EL0124SQ-NOPB/1949419,,3.125Gbps,,Deserializer,Automotive,CML,,1,5,-40°C ~ 85°C (TA),LVDS,,AEC-Q100,,,"2.5V, 3.3V"
DS32EL0124SQE/NOPB,Texas Instruments,IC DESERIAL W/DDR LVDS 48WQFN,pmic-power-management-specialized,270,13.84,48-WFQFN Exposed Pad,Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/DS32EL0124SQE-NOPB/1949399,,3.125Gbps,,Deserializer,Automotive,CML,,1,5,-40°C ~ 85°C (TA),LVDS,,AEC-Q100,,,"2.5V, 3.3V"
DS32EL0124SQX/NOPB,National Semiconductor,DS32EL0124 125 MHZ - 312.5 MHZ F,pmic-power-management-specialized,21600,7.61,48-WFQFN Exposed Pad,Surface Mount,Active,https://rocelec.widen.net/view/pdf/steyjd6du7/ds32el0124.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/DS32EL0124SQX-NOPB/13511547,,3.125Gbps,,Deserializer,Automotive,CML,,1,5,-40°C ~ 85°C (TA),LVDS,,AEC-Q100,,,"2.5V, 3.3V"
DS32EL0421SQ/NOPB,National Semiconductor,DS32EL0421 125 MHZ - 312.5 MHZ F,pmic-power-management-specialized,9769,9.13,48-WFQFN Exposed Pad,Surface Mount,Active,https://rocelec.widen.net/view/pdf/9tjbqpq5ui/ds32el0421.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/DS32EL0421SQ-NOPB/13508644,,3.125Gbps,,Serializer,Automotive,LVDS,,5,1,-40°C ~ 85°C (TA),CML,,AEC-Q100,,,"2.5V, 3.3V"
DS32EL0421SQE/NOPB,Texas Instruments,IC SERIALIZR DDR LVDS PAR 48WQFN,pmic-power-management-specialized,300,13.84,48-WFQFN Exposed Pad,Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/DS32EL0421SQE-NOPB/2033665,,3.125Gbps,,Serializer,Automotive,LVDS,,5,1,-40°C ~ 85°C (TA),CML,,AEC-Q100,,,"2.5V, 3.3V"
DS32EL0421SQX/NOPB,National Semiconductor,DS32EL0421 125 MHZ - 312.5 MHZ F,pmic-power-management-specialized,1950,7.61,48-WFQFN Exposed Pad,Surface Mount,Active,https://rocelec.widen.net/view/pdf/9tjbqpq5ui/ds32el0421.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/DS32EL0421SQX-NOPB/13468085,,3.125Gbps,,Serializer,Automotive,LVDS,,5,1,-40°C ~ 85°C (TA),CML,,AEC-Q100,,,"2.5V, 3.3V"
DS32ELX0124SQ/NOPB,National Semiconductor,"LINE RECEIVER, 2 FUNC, 2 RCVR",pmic-power-management-specialized,833,6.5,48-WFQFN Exposed Pad,Surface Mount,Obsolete,https://rocelec.widen.net/view/pdf/qpffapyvm9/TXII-S-A0000212797-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/DS32ELX0124SQ-NOPB/11533014,,3.125Gbps,,Deserializer,Automotive,CML,,2,5,-40°C ~ 85°C (TA),LVDS,,AEC-Q100,,,"2.5V, 3.3V"
DS32ELX0124SQE,National Semiconductor,"LINE TRANSCEIVER, 2 FUNC, 2 DRIV",pmic-power-management-specialized,250,11.76,48-WFQFN Exposed Pad,Surface Mount,Active,https://rocelec.widen.net/view/pdf/ykioqgwing/NATLS11736-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/DS32ELX0124SQE/12612645,,3.125Gbps,,Deserializer,,CML,,2,5,-40°C ~ 85°C (TA),LVDS,,,DS32ELX0124,,"2.375V ~ 2.625V, 3.135V ~ 3.465V"
DS32ELX0124SQE/NOPB,Texas Instruments,IC DESERIAL W/DDR LVDS 48WQFN,pmic-power-management-specialized,0,10.04544,48-WFQFN Exposed Pad,Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/DS32ELX0124SQE-NOPB/1949400,,3.125Gbps,,Deserializer,Automotive,CML,,2,5,-40°C ~ 85°C (TA),LVDS,,AEC-Q100,,,"2.5V, 3.3V"
DS32ELX0124SQX/NOPB,Texas Instruments,IC DESERIAL W/DDR LVDS 48WQFN,pmic-power-management-specialized,0,8.37144,48-WFQFN Exposed Pad,Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/DS32ELX0124SQX-NOPB/1949422,,3.125Gbps,,Deserializer,Automotive,CML,,2,5,-40°C ~ 85°C (TA),LVDS,,AEC-Q100,,,"2.5V, 3.3V"
DS32ELX0421SQ/NOPB,National Semiconductor,"LINE DRIVER, 2 FUNC, 2 DRIVER",pmic-power-management-specialized,901,6.5,48-WFQFN Exposed Pad,Surface Mount,Obsolete,https://rocelec.widen.net/view/pdf/0lf99yscyi/TXII-S-A0000212776-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/DS32ELX0421SQ-NOPB/11526154,,3.125Gbps,,Serializer,Automotive,LVDS,,5,2,-40°C ~ 85°C (TA),CML,,AEC-Q100,,,"2.5V, 3.3V"
DS32ELX0421SQE/NOPB,Texas Instruments,IC SERIALIZR DDR LVDS PAR 48WQFN,pmic-power-management-specialized,329,16.52,48-WFQFN Exposed Pad,Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/DS32ELX0421SQE-NOPB/2033666,,3.125Gbps,,Serializer,Automotive,LVDS,,5,2,-40°C ~ 85°C (TA),CML,,AEC-Q100,,,"2.5V, 3.3V"
DS32ELX0421SQX/NOPB,National Semiconductor,"LINE DRIVER, 2 FUNC, 2 DRIVER",pmic-power-management-specialized,2392,6.5,48-WFQFN Exposed Pad,Surface Mount,Obsolete,https://rocelec.widen.net/view/pdf/0lf99yscyi/TXII-S-A0000212776-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/DS32ELX0421SQX-NOPB/11523875,,3.125Gbps,,Serializer,Automotive,LVDS,,5,2,-40°C ~ 85°C (TA),CML,,AEC-Q100,,,"2.5V, 3.3V"
DS90C124IVS/NOPB,Texas Instruments,IC SRL/DESRL 24BIT LVDS 48-TQFP,pmic-power-management-specialized,478,14.03,48-TQFP,Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/DS90C124IVS-NOPB/1228168,,840Mbps,,Deserializer,,"FPD-Link II, LVDS",,1,24,-40°C ~ 105°C (TA),LVCMOS,,,,,3V ~ 3.6V
DS90C124IVSX/NOPB,Texas Instruments,IC SRL/DESRL 24BIT LVDS 48-TQFP,pmic-power-management-specialized,0,7.9541,48-TQFP,Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/DS90C124IVSX-NOPB/1870604,,840Mbps,,Deserializer,Automotive,"FPD-Link II, LVDS",,1,24,-40°C ~ 105°C (TA),LVCMOS,,AEC-Q100,,,3V ~ 3.6V
DS90C124QVS/NOPB,Texas Instruments,IC SER/DESER 24BIT LVDS 48-TQFP,pmic-power-management-specialized,44,15.94,48-TQFP,Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/DS90C124QVS-NOPB/1870575,,840Mbps,,Deserializer,Automotive,"FPD-Link II, LVDS",,1,24,-40°C ~ 105°C (TA),LVCMOS,,AEC-Q100,,,3V ~ 3.6V
DS90C124QVSX/NOPB,Texas Instruments,IC SER/DESER 24BIT LVDS 48-TQFP,pmic-power-management-specialized,0,9.3863,48-TQFP,Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/DS90C124QVSX-NOPB/1870603,,840Mbps,,Deserializer,Automotive,"FPD-Link II, LVDS",,1,24,-40°C ~ 105°C (TA),LVCMOS,,AEC-Q100,,,3V ~ 3.6V
DS90C185SQ/NOPB,Texas Instruments,IC SERIALIZER LVDS LP 48WQFN,pmic-power-management-specialized,742,8.01,48-WFQFN Exposed Pad,Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/DS90C185SQ-NOPB/3594743,,2.94Gbps,,Serializer,Automotive,LVCMOS,,28,4,-10°C ~ 70°C (TA),"FPD-Link, LVDS",,AEC-Q100,,,1.71V ~ 1.89V
DS90C185SQE/NOPB,Texas Instruments,IC SERIALIZER LVDS LP 48WQFN,pmic-power-management-specialized,0,8.01,48-WFQFN Exposed Pad,Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/DS90C185SQE-NOPB/3640804,,2.94Gbps,,Serializer,Automotive,LVCMOS,,28,4,-10°C ~ 70°C (TA),"FPD-Link, LVDS",,AEC-Q100,,,1.71V ~ 1.89V
DS90C185SQX,National Semiconductor,LINE RECEIVER,pmic-power-management-specialized,4766,2.05,48-WFQFN Exposed Pad,Surface Mount,Active,https://rocelec.widen.net/view/pdf/z185zvjpvd/TXIIS140247-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/DS90C185SQX/12099538,,2.94Gbps,,Serializer,,LVCMOS,,28,4,-10°C ~ 70°C (TA),"FPD-Link, LVDS",,,DS90C185,,1.71V ~ 1.89V
DS90C185SQX/NOPB,National Semiconductor,DS90C185 LOW POWER FPD-LINK (LVD,pmic-power-management-specialized,2500,4.16,48-WFQFN Exposed Pad,Surface Mount,Active,https://rocelec.widen.net/view/pdf/0grpd7oy6y/ds90c185.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/DS90C185SQX-NOPB/13493172,,2.94Gbps,,Serializer,Automotive,LVCMOS,,28,4,-10°C ~ 70°C (TA),"FPD-Link, LVDS",,AEC-Q100,,,1.71V ~ 1.89V
DS90C187LF/NOPB,Texas Instruments,IC SERIALIZER DL LVDS LP 92QFN,pmic-power-management-specialized,818,12.12,"92-VFQFN Dual Rows, Exposed Pad",Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/DS90C187LF-NOPB/3594744,,5.57Gbps,,Serializer,Automotive,LVCMOS,,53,8,-10°C ~ 70°C (TA),"FPD-Link, LVDS",,AEC-Q100,,,1.71V ~ 1.89V
DS90C187LFE/NOPB,Texas Instruments,IC SERIALIZER DL LVDS LP 92QFN,pmic-power-management-specialized,242,12.12,"92-VFQFN Dual Rows, Exposed Pad",Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/DS90C187LFE-NOPB/3640802,,5.57Gbps,,Serializer,Automotive,LVCMOS,,53,8,-10°C ~ 70°C (TA),"FPD-Link, LVDS",,AEC-Q100,,,1.71V ~ 1.89V
DS90C187LFX/NOPB,Texas Instruments,IC SERIALIZER DL LVDS LP 92QFN,pmic-power-management-specialized,0,6.77138,"92-VFQFN Dual Rows, Exposed Pad",Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/DS90C187LFX-NOPB/3640803,,5.57Gbps,,Serializer,Automotive,LVCMOS,,53,8,-10°C ~ 70°C (TA),"FPD-Link, LVDS",,AEC-Q100,,,1.71V ~ 1.89V
DS90C189TWRTDRQ1,Texas Instruments,FERT FOR NEW HALB,pmic-power-management-specialized,0,10.28566,64-VFQFN Exposed Pad,Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/DS90C189TWRTDRQ1/9561516,,,,Serializer,Automotive,LVCMOS,,,,-40°C ~ 115°C,LVDS,,AEC-Q100,,,1.71V ~ 1.89V
DS90C189TWRTDTQ1,Texas Instruments,INTERFACE IC MISC,pmic-power-management-specialized,0,12.34312,64-VFQFN Exposed Pad,Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/DS90C189TWRTDTQ1/9692629,,,,Serializer,Automotive,LVCMOS,,,,-40°C ~ 115°C,LVDS,,AEC-Q100,,,1.71V ~ 1.89V
DS90C241IVS,National Semiconductor,"LINE DRIVER, 1 FUNC, 24 DRIVER,",pmic-power-management-specialized,103,4.69,48-TQFP,Surface Mount,Active,https://rocelec.widen.net/view/pdf/ytlrifqypg/NATLS10415-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/DS90C241IVS/13452908,,840Mbps,,Serializer,Automotive,LVCMOS,,24,1,-40°C ~ 105°C (TA),"FPD-Link II, LVDS",,AEC-Q100,,,3V ~ 3.6V
DS90C241IVS/NOPB,Texas Instruments,IC SERIAL/DESERIAL 24BIT 48-TQFP,pmic-power-management-specialized,1611,14.03,48-TQFP,Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/DS90C241IVS-NOPB/1217791,,840Mbps,,Serializer,Automotive,LVCMOS,,24,1,-40°C ~ 105°C (TA),"FPD-Link, LVDS",,AEC-Q100,,,3V ~ 3.6V
DS90C241IVSX/NOPB,Texas Instruments,IC SERIAL/DESERIAL 24BIT 48-TQFP,pmic-power-management-specialized,0,7.9541,48-TQFP,Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/DS90C241IVSX-NOPB/1851204,,840Mbps,,Serializer,Automotive,LVCMOS,,24,1,-40°C ~ 105°C (TA),"FPD-Link, LVDS",,AEC-Q100,,,3V ~ 3.6V
DS90C241QVS/NOPB,Texas Instruments,IC SERIAL/DESERIAL 24BIT 48-TQFP,pmic-power-management-specialized,265,15.94,48-TQFP,Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/DS90C241QVS-NOPB/1851318,,840Mbps,,Serializer,Automotive,LVCMOS,,24,1,-40°C ~ 105°C (TA),"FPD-Link, LVDS",,AEC-Q100,,,3V ~ 3.6V
DS90C241QVSX,National Semiconductor,"1 FUNC, 24 DRIVER, PQFP48",pmic-power-management-specialized,1000,8.13,48-TQFP,Surface Mount,Active,https://rocelec.widen.net/view/pdf/ytlrifqypg/NATLS10415-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/DS90C241QVSX/12614302,,840Mbps,,Serializer,Automotive,LVCMOS,,24,1,-40°C ~ 105°C (TA),"FPD-Link II, LVDS",,AEC-Q100,,,3V ~ 3.6V
DS90C241QVSX/NOPB,Texas Instruments,IC SERIAL/DESERIAL 24BIT 48-TQFP,pmic-power-management-specialized,0,9.3863,48-TQFP,Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/DS90C241QVSX-NOPB/1851203,,840Mbps,,Serializer,Automotive,LVCMOS,,24,1,-40°C ~ 105°C (TA),"FPD-Link, LVDS",,AEC-Q100,,,3V ~ 3.6V
DS90CF364MTD,National Semiconductor,"LINE RECEIVER, 4 FUNC, 4 RCVR, P",pmic-power-management-specialized,14,21.43,"48-TFSOP (0.240"", 6.10mm Width)",Surface Mount,Active,https://rocelec.widen.net/view/pdf/xm681rtdrp/NATLS25951-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/DS90CF364MTD/13515937,,455Mbps,,Deserializer,,LVDS,,3,18,-40°C ~ 85°C (TA),"CMOS, TTL",,,,,3V ~ 3.6V
DS90CR481VJD/NOPB,Texas Instruments,IC SERIALIZER 48BIT 100-TQFP,pmic-power-management-specialized,130,19.36,100-TQFP,Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/DS90CR481VJD-NOPB/562246,,5.38Gbps,,Serializer,Automotive,CMOS/TTL,,48,8,-10°C ~ 70°C (TA),LVDS,,AEC-Q100,,,3V ~ 3.6V
DS90CR482VS,National Semiconductor,"LINE RECEIVER, 8 FUNC, 9 RCVR, P",pmic-power-management-specialized,394,7.4,100-TQFP,Surface Mount,Active,https://rocelec.widen.net/view/pdf/zklqsesmus/NATLS19566-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/DS90CR482VS/13433956,,5.38Gbps,,Deserializer,,LVDS,,8,48,-10°C ~ 70°C (TA),"CMOS, TTL",,,,,3V ~ 3.6V
DS90CR482VS/NOPB,Texas Instruments,IC SERIALIZER 48BIT 100-TQFP,pmic-power-management-specialized,15,22.2,100-TQFP,Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/DS90CR482VS-NOPB/562249,,5.38Gbps,,Deserializer,Automotive,LVDS,,8,48,-10°C ~ 70°C (TA),"CMOS, TTL",,AEC-Q100,,,3V ~ 3.6V
DS90CR482VSX/NOPB,Texas Instruments,IC SERIALIZER 48BIT 100-TQFP,pmic-power-management-specialized,0,13.57972,100-TQFP,Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/DS90CR482VSX-NOPB/1870845,,5.38Gbps,,Deserializer,Automotive,LVDS,,8,48,-10°C ~ 70°C (TA),"CMOS, TTL",,AEC-Q100,,,3V ~ 3.6V
DS90CR483AVJD/NOPB,Texas Instruments,IC XMITTER 48BIT LVDS 100-TQFP,pmic-power-management-specialized,18,25.46,100-TQFP,Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/DS90CR483AVJD-NOPB/1870576,,5.38Gbps,,Serializer,Automotive,CMOS/TTL,,48,8,-10°C ~ 70°C (TA),LVDS,,AEC-Q100,,,3V ~ 3.6V
DS90CR483AVJDX/NOPB,Texas Instruments,IC XMITTER 48BIT LVDS 100-TQFP,pmic-power-management-specialized,0,15.84044,100-TQFP,Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/DS90CR483AVJDX-NOPB/1870605,,5.38Gbps,,Serializer,Automotive,CMOS/TTL,,48,8,-10°C ~ 70°C (TA),LVDS,,AEC-Q100,,,3V ~ 3.6V
DS90CR483VJD,National Semiconductor,"8 FUNC, 8 DRIVER, PQFP100",pmic-power-management-specialized,157,17.35,100-TQFP,Surface Mount,Active,https://rocelec.widen.net/view/pdf/pbdfgsagb6/NATLS18088-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/DS90CR483VJD/12597948,,5.38Gbps,,Serializer,Automotive,CMOS/TTL,,48,8,-10°C ~ 70°C (TA),LVDS,,AEC-Q100,,,3V ~ 3.6V
DS90CR483VJD/NOPB,Texas Instruments,IC SERIALIZER 48BIT 100TQFP,pmic-power-management-specialized,0,22.51322,100-TQFP,Surface Mount,Not For New Designs,,https://www.digikey.com/en/products/detail/texas-instruments/DS90CR483VJD-NOPB/366660,,5.38Gbps,,Serializer,Automotive,CMOS/TTL,,48,8,-10°C ~ 70°C (TA),LVDS,,AEC-Q100,,,3V ~ 3.6V
