MPN,Manufacturer,Description,Subcategory,Stock,Unit Price,Package,Mounting Type,Status,Datasheet URL,Product URL,Grade,Logic Type,Number of Bits,Operating Temperature,Qualification,Series,Supply Voltage
SN74LS381AN,Texas Instruments,"ALU, LS SERIES",clock-timing-programmable-timers-oscillators,304,45.94,-,-,Active,https://rocelec.widen.net/view/pdf/teolzeiy64/TXIIS128384-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/SN74LS381AN/12130082,,,,,,*,
SN74LS382AN,Texas Instruments,IC ARITH LOGIC UNIT 4BIT 20PDIP,clock-timing-programmable-timers-oscillators,119,5.64,"20-DIP (0.300"", 7.62mm)",Through Hole,Active,https://rocelec.widen.net/view/pdf/teolzeiy64/TXIIS128384-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/SN74LS382AN/12130004,,Arithmetic Logic Unit,4,0°C ~ 70°C,,74LS,4.75V ~ 5.25V
SN74LS396N,Texas Instruments,"LOGIC CIRCUIT, TTL, PDIP16",clock-timing-programmable-timers-oscillators,497,50.19,-,-,Active,https://rocelec.widen.net/view/pdf/vhayanjkue/TXIIS187365-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/SN74LS396N/12129019,,,,,,*,
SN74LS610N,Texas Instruments,"PARALLEL I/O PORT, 12 I/O, TTL",clock-timing-programmable-timers-oscillators,4167,36.44,-,Through Hole,Active,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/5342/SN54LSS61x_SN74LS61x.pdf,https://www.digikey.com/en/products/detail/rochester-electronics-llc/SN74LS610N/12131055,,,12,0°C ~ 70°C,,,4.75V ~ 5.25V
SN74LS612FN,Texas Instruments,"PARALLEL I/O PORT, 12 I/O, TTL,",clock-timing-programmable-timers-oscillators,1091,6.19,-,Surface Mount,Active,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/5342/SN54LSS61x_SN74LS61x.pdf,https://www.digikey.com/en/products/detail/rochester-electronics-llc/SN74LS612FN/12130766,,,12,0°C ~ 70°C,,,4.75V ~ 5.25V
SN74LS612N,Texas Instruments,"PARALLEL I/O PORT, 12 I/O, TTL",clock-timing-programmable-timers-oscillators,5966,6.4,-,-,Active,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/5342/SN54LSS61x_SN74LS61x.pdf,https://www.digikey.com/en/products/detail/rochester-electronics-llc/SN74LS612N/12129412,,,12,0°C ~ 70°C,,,4.75V ~ 5.25V
SN74LS630N,Texas Instruments,ERROR DETECTION AND CORRECTION,clock-timing-programmable-timers-oscillators,37,51.51,-,-,Active,https://rocelec.widen.net/view/pdf/sxljmpjwss/TXIIS06060-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/SN74LS630N/12129262,,,,,,*,
SN74LS637N,Texas Instruments,ERROR DETECTION AND CORRECTION,clock-timing-programmable-timers-oscillators,3943,41.44,-,-,Active,https://rocelec.widen.net/view/pdf/2zuxcuiyns/TXIIS144373-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/SN74LS637N/12136076,,,,,,*,
SN74LV161284DGGR,Texas Instruments,IC IEEE STD 1284 TX 19BT 48TSSOP,clock-timing-programmable-timers-oscillators,0,5.69954,"48-TFSOP (0.240"", 6.10mm Width)",Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/SN74LV161284DGGR/276858,,IEEE STD 1284 Translation Transceiver,19,-40°C ~ 85°C,,74LV,4.5V ~ 5.5V
SN74LV161284DL,Texas Instruments,IC IEEE STD 1284 TX 19BIT 48SSOP,clock-timing-programmable-timers-oscillators,0,5.69952,"48-BSSOP (0.295"", 7.50mm Width)",Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/SN74LV161284DL/277325,,IEEE STD 1284 Translation Transceiver,19,-40°C ~ 85°C,,74LV,4.5V ~ 5.5V
SN74LV161284DLR,Texas Instruments,IC IEEE STD 1284 TX 19BIT 48SSOP,clock-timing-programmable-timers-oscillators,0,4.82328,"48-BSSOP (0.295"", 7.50mm Width)",Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/SN74LV161284DLR/374672,,IEEE STD 1284 Translation Transceiver,19,-40°C ~ 85°C,,74LV,4.5V ~ 5.5V
SN74LVC1404DCTR,Texas Instruments,IC CRYSTAL OSCILLTR DVR 1BIT SM8,clock-timing-programmable-timers-oscillators,2532,1.18,"8-LSSOP, 8-MSOP (0.110"", 2.80mm Width)",Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/SN74LVC1404DCTR/679090,,Crystal Oscillator Driver,1,-40°C ~ 85°C,,74LVC,1.65V ~ 5.5V
SN74LVC1404DCUR,Texas Instruments,IC CRYSTAL OSC DRVR 1BIT 8-VSSOP,clock-timing-programmable-timers-oscillators,5924,1.09,"8-VFSOP (0.091"", 2.30mm Width)",Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/SN74LVC1404DCUR/807658,,Crystal Oscillator Driver,1,-40°C ~ 85°C,,74LVC,1.65V ~ 5.5V
SN74LVC1404DCURG4,Texas Instruments,IC CRYSTAL OSC DRVR 1BIT 8-VSSOP,clock-timing-programmable-timers-oscillators,0,0.38182,"8-VFSOP (0.091"", 2.30mm Width)",Surface Mount,Discontinued at DigiKey,,https://www.digikey.com/en/products/detail/texas-instruments/SN74LVC1404DCURG4/1904134,,Crystal Oscillator Driver,1,-40°C ~ 85°C,,74LVC,1.65V ~ 5.5V
SN74LVC1404YEPR,Texas Instruments,IC CRYSTAL OSC DRVR 1BIT 8-DSBGA,clock-timing-programmable-timers-oscillators,0,0.62781,"8-XFBGA, DSBGA",Surface Mount,Obsolete,,https://www.digikey.com/en/products/detail/texas-instruments/SN74LVC1404YEPR/863590,,Crystal Oscillator Driver,1,-40°C ~ 85°C,,74LVC,1.65V ~ 5.5V
SN74LVC1404YZPR,Texas Instruments,IC CRYSTAL OSC DRVR 1BIT 8-DSBGA,clock-timing-programmable-timers-oscillators,0,0.57288,"8-XFBGA, DSBGA",Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/SN74LVC1404YZPR/770215,,Crystal Oscillator Driver,1,-40°C ~ 85°C,,74LVC,1.65V ~ 5.5V
SN74LVC161284DGGR,Texas Instruments,IC IEEE STD 1284 TX 19BT 48TSSOP,clock-timing-programmable-timers-oscillators,1494,3.0,"48-TFSOP (0.240"", 6.10mm Width)",Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/SN74LVC161284DGGR/377438,,IEEE STD 1284 Translation Transceiver,19,0°C ~ 70°C,,74LVC,3V ~ 3.6V
SN74LVC161284DL,Texas Instruments,IC IEEE STD 1284 TX 19BIT 48SSOP,clock-timing-programmable-timers-oscillators,235,3.73,"48-BSSOP (0.295"", 7.50mm Width)",Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/SN74LVC161284DL/377439,,IEEE STD 1284 Translation Transceiver,19,0°C ~ 70°C,,74LVC,3V ~ 3.6V
SN74LVC161284DLG4,Texas Instruments,IC IEEE STD 1284 TX 19BIT 48SSOP,clock-timing-programmable-timers-oscillators,0,0.99953,"48-BSSOP (0.295"", 7.50mm Width)",Surface Mount,Discontinued at DigiKey,,https://www.digikey.com/en/products/detail/texas-instruments/SN74LVC161284DLG4/1591891,,IEEE STD 1284 Translation Transceiver,19,0°C ~ 70°C,,74LVC,3V ~ 3.6V
SN74LVC161284DLR,Texas Instruments,IC IEEE STD 1284 TX 19BIT 48SSOP,clock-timing-programmable-timers-oscillators,0,2.12982,"48-BSSOP (0.295"", 7.50mm Width)",Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/SN74LVC161284DLR/377440,,IEEE STD 1284 Translation Transceiver,19,0°C ~ 70°C,,74LVC,3V ~ 3.6V
SN74LVC1GX04DBVR,Texas Instruments,IC CRYSTAL OSC DRVR 1BIT SOT23-6,clock-timing-programmable-timers-oscillators,13961,1.19,SOT-23-6,Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/SN74LVC1GX04DBVR/722179,,Crystal Oscillator Driver,1,-40°C ~ 125°C (TA),,74LVC,1.65V ~ 5.5V
SN74LVC1GX04DBVT,Texas Instruments,IC CRYSTAL OSC DRVR 1BIT SOT23-6,clock-timing-programmable-timers-oscillators,466,1.34,SOT-23-6,Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/SN74LVC1GX04DBVT/1592147,,Crystal Oscillator Driver,1,-40°C ~ 125°C (TA),,74LVC,1.65V ~ 5.5V
SN74LVC1GX04DCKR,Texas Instruments,IC CRYSTAL OSC DRVR 1BIT SC-70-6,clock-timing-programmable-timers-oscillators,1065,1.1,"6-TSSOP, SC-88, SOT-363",Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/SN74LVC1GX04DCKR/701979,,Crystal Oscillator Driver,1,-40°C ~ 125°C (TA),,74LVC,1.65V ~ 5.5V
SN74LVC1GX04DCKT,Texas Instruments,IC CRYSTAL OSC DRVR 1BIT SC-70-6,clock-timing-programmable-timers-oscillators,189,1.29,"6-TSSOP, SC-88, SOT-363",Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/SN74LVC1GX04DCKT/1592148,,Crystal Oscillator Driver,1,-40°C ~ 125°C (TA),,74LVC,1.65V ~ 5.5V
SN74LVC1GX04DRLR,Texas Instruments,IC CRYSTAL OSC DRVR 1BIT SOT-5X3,clock-timing-programmable-timers-oscillators,7569,1.16,"SOT-563, SOT-666",Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/SN74LVC1GX04DRLR/863249,,Crystal Oscillator Driver,1,-40°C ~ 125°C (TA),,74LVC,1.65V ~ 5.5V
SN74LVCE161284DGGR,Texas Instruments,IC IEEE STD 1284 TX 19BT 48TSSOP,clock-timing-programmable-timers-oscillators,0,2.43474,"48-TFSOP (0.240"", 6.10mm Width)",Surface Mount,Active,https://www.ti.com/lit/ds/symlink/sn74lvce161284.pdf,https://www.digikey.com/en/products/detail/texas-instruments/SN74LVCE161284DGGR/863656,,IEEE STD 1284 Translation Transceiver,19,0°C ~ 70°C,,74LVCE,3V ~ 3.6V
SN74LVCE161284DL,Texas Instruments,IC IEEE STD 1284 TX 19BIT 48SSOP,clock-timing-programmable-timers-oscillators,0,2.14445,"48-BSSOP (0.295"", 7.50mm Width)",Surface Mount,Obsolete,https://www.ti.com/lit/ds/symlink/sn74lvce161284.pdf,https://www.digikey.com/en/products/detail/texas-instruments/SN74LVCE161284DL/1592642,,IEEE STD 1284 Translation Transceiver,19,0°C ~ 70°C,,74LVCE,3V ~ 3.6V
SN74LVCE161284DLR,Texas Instruments,IC IEEE STD 1284 TX 19BIT 48SSOP,clock-timing-programmable-timers-oscillators,0,2.33002,"48-BSSOP (0.295"", 7.50mm Width)",Surface Mount,Active,https://www.ti.com/lit/ds/symlink/sn74lvce161284.pdf,https://www.digikey.com/en/products/detail/texas-instruments/SN74LVCE161284DLR/651103,,IEEE STD 1284 Translation Transceiver,19,0°C ~ 70°C,,74LVCE,3V ~ 3.6V
SN74LVCE161284VR,Texas Instruments,IC IEEE STD 1284 TX 19BT 48TVSOP,clock-timing-programmable-timers-oscillators,4000,1.8,"48-TFSOP (0.173"", 4.40mm Width)",Surface Mount,Obsolete,https://www.ti.com/lit/ds/symlink/sn74lvce161284.pdf,https://www.digikey.com/en/products/detail/texas-instruments/SN74LVCE161284VR/11558098,,IEEE STD 1284 Translation Transceiver,19,0°C ~ 70°C,,74LVCE,3V ~ 3.6V
SN74LVCZ161284AGR,Texas Instruments,IC IEEE STD 1284 TX 19BT 48TSSOP,clock-timing-programmable-timers-oscillators,0,1.3013,"48-TFSOP (0.240"", 6.10mm Width)",Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/SN74LVCZ161284AGR/404262,,IEEE STD 1284 Translation Transceiver,19,0°C ~ 70°C,,74LVCZ,3V ~ 3.6V
SN74LVT182502PM,Texas Instruments,BOUNDARY SCAN REG BUS TRANSCVR,clock-timing-programmable-timers-oscillators,139,9.64,-,-,Active,https://rocelec.widen.net/view/pdf/aomufcmc0x/TXIIS85660-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/SN74LVT182502PM/12124651,,,,,,*,
SN74LVT8980ADW,Texas Instruments,IC EMB TST-BUS CTRL 8BIT 24-SOIC,clock-timing-programmable-timers-oscillators,0,16.42253,"24-SOIC (0.295"", 7.50mm Width)",Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/SN74LVT8980ADW/486435,,Embedded Test-Bus Controllers,8,-40°C ~ 85°C,,74LVT,2.7V ~ 3.6V
SN74LVT8980ADWR,Texas Instruments,IC EMB TST-BUS CTRL 8BIT 24-SOIC,clock-timing-programmable-timers-oscillators,0,13.68598,"24-SOIC (0.295"", 7.50mm Width)",Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/SN74LVT8980ADWR/608331,,Embedded Test-Bus Controllers,8,-40°C ~ 85°C,,74LVT,2.7V ~ 3.6V
SN74LVT8980ADWRG4,Texas Instruments,IC EMB TST-BUS CTRL 8BIT 24-SOIC,clock-timing-programmable-timers-oscillators,0,8.16108,"24-SOIC (0.295"", 7.50mm Width)",Surface Mount,Discontinued at DigiKey,,https://www.digikey.com/en/products/detail/texas-instruments/SN74LVT8980ADWRG4/1592824,,Embedded Test-Bus Controllers,8,-40°C ~ 85°C,,74LVT,2.7V ~ 3.6V
SN74LVT8980AIDWREP,Texas Instruments,IC EMB TST-BUS CTRL 8BIT 24-SOIC,clock-timing-programmable-timers-oscillators,0,19.8583,"24-SOIC (0.295"", 7.50mm Width)",Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/SN74LVT8980AIDWREP/1666542,,Embedded Test-Bus Controllers,8,-40°C ~ 85°C,,74LVT,2.7V ~ 3.6V
SN74LVT8980DW,Texas Instruments,IC EMB TST-BUS CTRL 8BIT 24-SOIC,clock-timing-programmable-timers-oscillators,3165,22.33,"24-SOIC (0.295"", 7.50mm Width)",Surface Mount,Obsolete,,https://www.digikey.com/en/products/detail/texas-instruments/SN74LVT8980DW/11549534,,Embedded Test-Bus Controllers,8,-40°C ~ 85°C,,74LVT,2.7V ~ 3.6V
SN74LVT8986GGV,Texas Instruments,IC LINKING ADD SCAN PORT 64-BGA,clock-timing-programmable-timers-oscillators,0,8.19262,64-LFBGA,Surface Mount,Obsolete,,https://www.digikey.com/en/products/detail/texas-instruments/SN74LVT8986GGV/563010,,Linking Addressable Scan Ports,,-40°C ~ 85°C,,74LVT,2.7V ~ 3.6V
SN74LVT8986PM,Texas Instruments,IC LINKING ADD SCAN PORT 64LQFP,clock-timing-programmable-timers-oscillators,0,14.881,64-LQFP,Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/SN74LVT8986PM/563008,,Linking Addressable Scan Ports,,-40°C ~ 85°C,,74LVT,2.7V ~ 3.6V
SN74LVT8996DW,Texas Instruments,IC ADDR SCAN PORT 10BIT 24-SOIC,clock-timing-programmable-timers-oscillators,0,14.67933,"24-SOIC (0.295"", 7.50mm Width)",Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/SN74LVT8996DW/373953,,Addressable Scan Ports,10,-40°C ~ 85°C,,74LVT,2.7V ~ 3.6V
SN74LVT8996DWR,Texas Instruments,IC ADDR SCAN PORT 10BIT 24-SOIC,clock-timing-programmable-timers-oscillators,0,9.471,"24-SOIC (0.295"", 7.50mm Width)",Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/SN74LVT8996DWR/373954,,Addressable Scan Ports,10,-40°C ~ 85°C,,74LVT,2.7V ~ 3.6V
SN74LVT8996IPWREP,Texas Instruments,IC ADDR SCAN PORT 10BIT 24-TSSOP,clock-timing-programmable-timers-oscillators,0,23.41262,"24-TSSOP (0.173"", 4.40mm Width)",Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/SN74LVT8996IPWREP/1666543,,Addressable Scan Ports,10,-40°C ~ 85°C,,74LVT,2.7V ~ 3.6V
SN74LVT8996PW,Texas Instruments,IC ADDR SCAN PORT 10BIT 24-TSSOP,clock-timing-programmable-timers-oscillators,218,20.18,"24-TSSOP (0.173"", 4.40mm Width)",Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/SN74LVT8996PW/373955,,Addressable Scan Ports,10,-40°C ~ 85°C,,74LVT,2.7V ~ 3.6V
SN74LVT8996PWR,Texas Instruments,IC ADDR SCAN PORT 10BIT 24-TSSOP,clock-timing-programmable-timers-oscillators,0,17.79,"24-TSSOP (0.173"", 4.40mm Width)",Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/SN74LVT8996PWR/373956,,Addressable Scan Ports,10,-40°C ~ 85°C,,74LVT,2.7V ~ 3.6V
SN74LVTH182502APM,Texas Instruments,IC ABT SCN TST DEV 18BIT 64LQFP,clock-timing-programmable-timers-oscillators,0,8.835,64-LQFP,Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/SN74LVTH182502APM/374445,,ABT Scan Test Device With Universal Bus Transceivers,18,-40°C ~ 85°C,,74LVTH,2.7V ~ 3.6V
SN74LVTH182502APMR,Texas Instruments,IC ABT SCN TST DEV 18BIT 64LQFP,clock-timing-programmable-timers-oscillators,0,7.36274,64-LQFP,Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/SN74LVTH182502APMR/1594427,,ABT Scan Test Device With Universal Bus Transceivers,18,-40°C ~ 85°C,,74LVTH,2.7V ~ 3.6V
SN74LVTH182504APM,Texas Instruments,IC ABT SCN TST DEV 20BIT 64LQFP,clock-timing-programmable-timers-oscillators,0,6.65431,64-LQFP,Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/SN74LVTH182504APM/374446,,ABT Scan Test Device With Universal Bus Transceivers,20,-40°C ~ 85°C,,74LVTH,2.7V ~ 3.6V
SN74LVTH182512DGGR,Texas Instruments,IC ABT SCN TST DEV 18BIT 64TSSOP,clock-timing-programmable-timers-oscillators,0,6.09494,"64-TFSOP (0.240"", 6.10mm Width)",Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/SN74LVTH182512DGGR/374447,,ABT Scan Test Device With Universal Bus Transceivers,18,-40°C ~ 85°C,,74LVTH,2.7V ~ 3.6V
SN74LVTH182646APM,Texas Instruments,IC ABT SCN TST DEV 18BIT 64LQFP,clock-timing-programmable-timers-oscillators,0,16.5365,64-LQFP,Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/SN74LVTH182646APM/1594428,,ABT Scan Test Device With Transceivers and Registers,18,-40°C ~ 85°C,,74LVTH,2.7V ~ 3.6V
SN74LVTH182652APM,Texas Instruments,IC ABT SCN TST DEV 18BIT 64LQFP,clock-timing-programmable-timers-oscillators,0,16.5365,64-LQFP,Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/SN74LVTH182652APM/528583,,ABT Scan Test Device With Transceivers and Registers,18,-40°C ~ 85°C,,74LVTH,2.7V ~ 3.6V
SN74LVTH18504APM,Texas Instruments,IC ABT SCN TST DEV 20BIT 64LQFP,clock-timing-programmable-timers-oscillators,0,8.835,64-LQFP,Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/SN74LVTH18504APM/374450,,ABT Scan Test Device With Universal Bus Transceivers,20,-40°C ~ 85°C,,74LVTH,2.7V ~ 3.6V
SN74LVTH18504APMR,Texas Instruments,IC ABT SCN TST DEV 20BIT 64LQFP,clock-timing-programmable-timers-oscillators,0,7.36274,64-LQFP,Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/SN74LVTH18504APMR/562958,,ABT Scan Test Device With Universal Bus Transceivers,20,-40°C ~ 85°C,,74LVTH,2.7V ~ 3.6V
SN74LVTH18646APM,Texas Instruments,IC ABT SCN TST DEV 18BIT 64LQFP,clock-timing-programmable-timers-oscillators,107,22.5,64-LQFP,Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/SN74LVTH18646APM/374455,,ABT Scan Test Device With Transceivers and Registers,18,-40°C ~ 85°C,,74LVTH,2.7V ~ 3.6V
SN74LVTH18646APMG4,Texas Instruments,IC ABT SCN TST DEV 18BIT 64LQFP,clock-timing-programmable-timers-oscillators,683,16.05,64-LQFP,Surface Mount,Active,,https://www.digikey.com/en/products/detail/rochester-electronics-llc/SN74LVTH18646APMG4/13468043,,ABT Scan Test Device With Transceivers and Registers,18,-40°C ~ 85°C,,74LVTH,2.7V ~ 3.6V
SN74LVTH18652APM,Texas Instruments,IC ABT SCN TST DEV 18BIT 64LQFP,clock-timing-programmable-timers-oscillators,95,19.8,64-LQFP,Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/SN74LVTH18652APM/476210,,ABT Scan Test Device With Transceivers and Registers,18,-40°C ~ 85°C,,74LVTH,2.7V ~ 3.6V
SN74S1050D,Texas Instruments,IC SCHOTT BARR DIOD 12BIT 16SOIC,clock-timing-programmable-timers-oscillators,16886,3.28,"16-SOIC (0.154"", 3.90mm Width)",Surface Mount,Obsolete,,https://www.digikey.com/en/products/detail/texas-instruments/SN74S1050D/13525250,,Schottky Barrier Diode Bus-Termination Array,12,0°C ~ 70°C,,74S,
SN74S1050N,Texas Instruments,IC SCHOTT BARR DIOD 12BIT 16PDIP,clock-timing-programmable-timers-oscillators,0,1.9064,"16-DIP (0.300"", 7.62mm)",Through Hole,Obsolete,,https://www.digikey.com/en/products/detail/texas-instruments/SN74S1050N/1594954,,Schottky Barrier Diode Bus-Termination Array,12,0°C ~ 70°C,,74S,
SN74S1052DW,Texas Instruments,IC SCHOTT BARR DIOD 16BIT 20SOIC,clock-timing-programmable-timers-oscillators,23920,1.96,"20-SOIC (0.295"", 7.50mm Width)",Surface Mount,Obsolete,,https://www.digikey.com/en/products/detail/texas-instruments/SN74S1052DW/11559872,,Schottky Barrier Diode Bus-Termination Array,16,0°C ~ 70°C,,74S,
SN74S1052DWR,Texas Instruments,IC SCHOTT BARR DIOD 16BIT 20SOIC,clock-timing-programmable-timers-oscillators,0,1.72463,"20-SOIC (0.295"", 7.50mm Width)",Surface Mount,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/1128/sn74s1052.pdf,https://www.digikey.com/en/products/detail/texas-instruments/SN74S1052DWR/377078,,Schottky Barrier Diode Bus-Termination Array,16,0°C ~ 70°C,,74S,
SN74S1052N,Texas Instruments,IC SCHOTT BARR DIOD 16BIT 20PDIP,clock-timing-programmable-timers-oscillators,0,2.28439,"20-DIP (0.300"", 7.62mm)",Through Hole,Discontinued at DigiKey,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/7160/296_sn74s1052.pdf,https://www.digikey.com/en/products/detail/texas-instruments/SN74S1052N/377079,,Schottky Barrier Diode Bus-Termination Array,16,0°C ~ 70°C,,74S,
SN74S1052NS,Texas Instruments,IC SCHOTT BARR DIODE 16BIT 20-SO,clock-timing-programmable-timers-oscillators,2640,1.76,"20-SOIC (0.209"", 5.30mm Width)",Surface Mount,Active,https://rocelec.widen.net/view/pdf/yl5erw34yt/TXII-S-A0002321867-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/SN74S1052NS/13494321,,Schottky Barrier Diode Bus-Termination Array,16,0°C ~ 70°C,,74S,
SN74S1052NSR,Texas Instruments,IC SCHOTT BARR DIODE 16BIT 20-SO,clock-timing-programmable-timers-oscillators,0,2.06088,"20-SOIC (0.209"", 5.30mm Width)",Surface Mount,Obsolete,,https://www.digikey.com/en/products/detail/texas-instruments/SN74S1052NSR/1593108,,Schottky Barrier Diode Bus-Termination Array,16,0°C ~ 70°C,,74S,
SN74S1053DB,Texas Instruments,IC SCHOTT BARR DIOD 16BIT 20SSOP,clock-timing-programmable-timers-oscillators,0,0.0,"20-SSOP (0.209"", 5.30mm Width)",Surface Mount,Obsolete,,https://www.digikey.com/en/products/detail/texas-instruments/SN74S1053DB/18175974,,Schottky Barrier Diode Bus-Termination Array,16,0°C ~ 70°C,,,
SN74S1053DBR,Texas Instruments,IC SCHOTT BARR DIOD 16BIT 20SSOP,clock-timing-programmable-timers-oscillators,0,4.32278,"20-SSOP (0.209"", 5.30mm Width)",Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/SN74S1053DBR/1593110,,Schottky Barrier Diode Bus-Termination Array,16,0°C ~ 70°C,,74S,
SN74S1053DW,Texas Instruments,IC SCHOTT BARR DIOD 16BIT 20SOIC,clock-timing-programmable-timers-oscillators,0,4.05,"20-SOIC (0.295"", 7.50mm Width)",Surface Mount,Obsolete,,https://www.digikey.com/en/products/detail/texas-instruments/SN74S1053DW/277372,,Schottky Barrier Diode Bus-Termination Array,16,0°C ~ 70°C,,74S,
SN74S1053DWG4,Texas Instruments,IC SCHOTT BARR DIOD 16BIT 20SOIC,clock-timing-programmable-timers-oscillators,0,2.184,"20-SOIC (0.295"", 7.50mm Width)",Surface Mount,Obsolete,,https://www.digikey.com/en/products/detail/texas-instruments/SN74S1053DWG4/1593112,,Schottky Barrier Diode Bus-Termination Array,16,0°C ~ 70°C,,74S,
SN74S1053DWR,Texas Instruments,IC SCHOTT BARR DIOD 16BIT 20SOIC,clock-timing-programmable-timers-oscillators,585,4.91,"20-SOIC (0.295"", 7.50mm Width)",Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/SN74S1053DWR/562961,,Schottky Barrier Diode Bus-Termination Array,16,0°C ~ 70°C,,74S,
SN74S1053N,Texas Instruments,IC SCHOTT BARR DIOD 16BIT 20PDIP,clock-timing-programmable-timers-oscillators,0,4.01479,"20-DIP (0.300"", 7.62mm)",Through Hole,Active,,https://www.digikey.com/en/products/detail/texas-instruments/SN74S1053N/277373,,Schottky Barrier Diode Bus-Termination Array,16,0°C ~ 70°C,,74S,
SN74S1053NE4,Texas Instruments,IC SCHOTTKY BARRIER DIODE 16BIT,clock-timing-programmable-timers-oscillators,329,3.89,-,-,Active,https://www.ti.com/lit/ds/symlink/sn74s1053.pdf,https://www.digikey.com/en/products/detail/rochester-electronics-llc/SN74S1053NE4/13483288,,Schottky Barrier Diode Bus-Termination Array,16,0°C ~ 70°C,,*,
SN74S1053NG4,Texas Instruments,IC SCHOTT BARR DIOD 16BIT 20PDIP,clock-timing-programmable-timers-oscillators,0,2.4245,"20-DIP (0.300"", 7.62mm)",Through Hole,Discontinued at DigiKey,,https://www.digikey.com/en/products/detail/texas-instruments/SN74S1053NG4/1594958,,Schottky Barrier Diode Bus-Termination Array,16,0°C ~ 70°C,,74S,
SN74S1053NS,Texas Instruments,IC SCHOTT BARR DIODE 16BIT 20-SO,clock-timing-programmable-timers-oscillators,0,0.0,"20-SOIC (0.209"", 5.30mm Width)",Surface Mount,Obsolete,,https://www.digikey.com/en/products/detail/texas-instruments/SN74S1053NS/18178654,,Schottky Barrier Diode Bus-Termination Array,16,0°C ~ 70°C,,74S,
SN74S1053NSR,Texas Instruments,IC SCHOTT BARR DIODE 16BIT 20-SO,clock-timing-programmable-timers-oscillators,0,3.85924,"20-SOIC (0.209"", 5.30mm Width)",Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/SN74S1053NSR/1593114,,Schottky Barrier Diode Bus-Termination Array,16,0°C ~ 70°C,,74S,
